[1779615865] Trying slug: btc-updown-5m-1779615600
[1779615866] Market: Bitcoin Up or Down - May 24, 5:40AM-5:45AM ET | Bid: 50¢
[1779615867] ⏱️ 33s | 💰 Price: 1¢ | Size: 11257 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 84¢ | Size: 0 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 443 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 451 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 19¢ | Size: 95 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 80¢ | Size: 5 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 87¢ | Size: 47 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 424 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 429 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 409 | Bid: 83¢ | Momentum: +0.00%
[1779615867] ⏱️ 33s | 💰 Price: 84¢ | Size: 10 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 429 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 409 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 371 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 84¢ | Size: 10 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 354 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 337 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 80¢ | Size: 0 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 347 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 79¢ | Size: 10 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 327 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 348 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 317 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 80¢ | Size: 5 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 87¢ | Size: 26 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 19¢ | Size: 23 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 82¢ | Size: 0 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 290 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 282 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 81¢ | Size: 18 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 287 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 282 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 84¢ | Size: 40 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 266 | Bid: 84¢ | Momentum: +1.20%
