[1779615558] Trying slug: btc-updown-5m-1779615300
[1779615558] Market: Bitcoin Up or Down - May 24, 5:35AM-5:40AM ET | Bid: 50¢
[1779615559] ⏱️ 41s | 💰 Price: 1¢ | Size: 11206 | Bid: 99¢ | Momentum: +0.00%
[1779615559] ⏱️ 41s | 💰 Price: 3¢ | Size: 758 | Bid: 99¢ | Momentum: +0.00%
[1779615559] ⏱️ 41s | 💰 Price: 1¢ | Size: 11200 | Bid: 99¢ | Momentum: +0.00%
[1779615559] ⏱️ 41s | 💰 Price: 1¢ | Size: 11206 | Bid: 99¢ | Momentum: +0.00%
[1779615559] ⏱️ 41s | 💰 Price: 95¢ | Size: 538 | Bid: 99¢ | Momentum: +0.00%
[1779615559] ⏱️ 41s | 💰 Price: 96¢ | Size: 1218 | Bid: 99¢ | Momentum: +0.00%
[1779615559] ⏱️ 41s | 💰 Price: 1¢ | Size: 10706 | Bid: 99¢ | Momentum: +0.00%
[1779615560] ⏱️ 40s | 💰 Price: 90¢ | Size: 271 | Bid: 99¢ | Momentum: +0.00%
[1779615560] ⏱️ 40s | 💰 Price: 2¢ | Size: 3225 | Bid: 99¢ | Momentum: +0.00%
[1779615560] ⏱️ 40s | 💰 Price: 91¢ | Size: 1522 | Bid: 99¢ | Momentum: +0.00%
[1779615560] ⏱️ 40s | 💰 Price: 1¢ | Size: 10710 | Bid: 99¢ | Momentum: +0.00%
[1779615560] ⏱️ 40s | 💰 Price: 1¢ | Size: 11210 | Bid: 99¢ | Momentum: +0.00%
[1779615560] ⏱️ 40s | 💰 Price: 1¢ | Size: 11216 | Bid: 99¢ | Momentum: +0.00%
[1779615560] ⏱️ 40s | 💰 Price: 1¢ | Size: 11210 | Bid: 99¢ | Momentum: +0.00%
[1779615560] ⏱️ 40s | 💰 Price: 98¢ | Size: 2580 | Bid: 99¢ | Momentum: +0.00%
[1779615560] ⏱️ 40s | 💰 Price: 94¢ | Size: 593 | Bid: 99¢ | Momentum: +0.00%
[1779615560] ⏱️ 40s | 💰 Price: 2¢ | Size: 3220 | Bid: 99¢ | Momentum: +0.00%
[1779615560] ⏱️ 40s | 💰 Price: 1¢ | Size: 10710 | Bid: 99¢ | Momentum: +0.00%
[1779615560] ⏱️ 40s | 💰 Price: 96¢ | Size: 918 | Bid: 99¢ | Momentum: +0.00%
[1779615560] ⏱️ 40s | 💰 Price: 94¢ | Size: 293 | Bid: 99¢ | Momentum: +0.00%
[1779615560] ⏱️ 40s | 💰 Price: 95¢ | Size: 460 | Bid: 99¢ | Momentum: +0.00%
[1779615560] ⏱️ 40s | 💰 Price: 96¢ | Size: 737 | Bid: 99¢ | Momentum: +0.00%
[1779615560] ⏱️ 40s | 💰 Price: 93¢ | Size: 323 | Bid: 99¢ | Momentum: +0.00%
[1779615560] ⏱️ 40s | 💰 Price: 1¢ | Size: 10716 | Bid: 99¢ | Momentum: +0.00%
[1779615560] ⏱️ 40s | 💰 Price: 1¢ | Size: 11216 | Bid: 99¢ | Momentum: +0.00%
[1779615560] ⏱️ 40s | 💰 Price: 2¢ | Size: 3225 | Bid: 99¢ | Momentum: +0.00%
[1779615560] ⏱️ 40s | 💰 Price: 1¢ | Size: 11210 | Bid: 99¢ | Momentum: +0.00%
[1779615560] ⏱️ 40s | 💰 Price: 1¢ | Size: 11206 | Bid: 99¢ | Momentum: +0.00%
[1779615560] ⏱️ 40s | 💰 Price: 61¢ | Size: 320 | Bid: 99¢ | Momentum: +0.00%
[1779615560] ⏱️ 40s | 💰 Price: 2¢ | Size: 3220 | Bid: 99¢ | Momentum: +0.00%
[1779615560] ⏱️ 40s | 💰 Price: 72¢ | Size: 53 | Bid: 99¢ | Momentum: +0.00%
[1779615560] ⏱️ 40s | 💰 Price: 61¢ | Size: 220 | Bid: 99¢ | Momentum: +0.00%
[1779615560] ⏱️ 40s | 💰 Price: 62¢ | Size: 310 | Bid: 99¢ | Momentum: +0.00%
[1779615560] ⏱️ 40s | 💰 Price: 1¢ | Size: 10706 | Bid: 99¢ | Momentum: +0.00%
