[1779616156] Trying slug: btc-updown-5m-1779615900
[1779616156] Market: Bitcoin Up or Down - May 24, 5:45AM-5:50AM ET | Bid: 51¢
[1779616157] ⏱️ 43s | 💰 Price: 34¢ | Size: 425 | Bid: 34¢ | Momentum: +0.00%
[1779616157] ⏱️ 43s | 💰 Price: 34¢ | Size: 420 | Bid: 34¢ | Momentum: +0.00%
[1779616157] ⏱️ 43s | 💰 Price: 1¢ | Size: 11688 | Bid: 34¢ | Momentum: +0.00%
[1779616157] ⏱️ 43s | 💰 Price: 34¢ | Size: 370 | Bid: 34¢ | Momentum: +0.00%
[1779616157] ⏱️ 43s | 💰 Price: 34¢ | Size: 337 | Bid: 34¢ | Momentum: +0.00%
[1779616157] ⏱️ 43s | 💰 Price: 34¢ | Size: 312 | Bid: 34¢ | Momentum: +0.00%
[1779616157] ⏱️ 43s | 💰 Price: 34¢ | Size: 262 | Bid: 34¢ | Momentum: +0.00%
[1779616157] ⏱️ 43s | 💰 Price: 28¢ | Size: 0 | Bid: 34¢ | Momentum: +0.00%
[1779616157] ⏱️ 43s | 💰 Price: 34¢ | Size: 254 | Bid: 34¢ | Momentum: +0.00%
[1779616157] ⏱️ 43s | 💰 Price: 34¢ | Size: 298 | Bid: 34¢ | Momentum: +0.00%
[1779616157] ⏱️ 43s | 💰 Price: 34¢ | Size: 265 | Bid: 34¢ | Momentum: +0.00%
[1779616157] ⏱️ 43s | 💰 Price: 34¢ | Size: 240 | Bid: 34¢ | Momentum: +0.00%
[1779616157] ⏱️ 43s | 💰 Price: 34¢ | Size: 232 | Bid: 34¢ | Momentum: +0.00%
[1779616157] ⏱️ 43s | 💰 Price: 4¢ | Size: 692 | Bid: 34¢ | Momentum: +0.00%
[1779616157] ⏱️ 43s | 💰 Price: 34¢ | Size: 262 | Bid: 34¢ | Momentum: +0.00%
[1779616157] ⏱️ 43s | 💰 Price: 34¢ | Size: 284 | Bid: 34¢ | Momentum: +0.00%
[1779616157] ⏱️ 43s | 💰 Price: 34¢ | Size: 328 | Bid: 34¢ | Momentum: +0.00%
[1779616157] ⏱️ 43s | 💰 Price: 34¢ | Size: 335 | Bid: 34¢ | Momentum: +0.00%
[1779616157] ⏱️ 43s | 💰 Price: 1¢ | Size: 11693 | Bid: 34¢ | Momentum: +0.00%
[1779616157] ⏱️ 43s | 💰 Price: 34¢ | Size: 364 | Bid: 34¢ | Momentum: +0.00%
