[1779614962] Trying slug: btc-updown-5m-1779614700
[1779614963] Market: Bitcoin Up or Down - May 24, 5:25AM-5:30AM ET | Bid: 50¢
[1779614965] ⏱️ 35s | 💰 Price: 49¢ | Size: 192 | Bid: 48¢ | Momentum: +0.00%
[1779614965] ⏱️ 35s | 💰 Price: 49¢ | Size: 199 | Bid: 48¢ | Momentum: +0.00%
[1779614965] ⏱️ 35s | 💰 Price: 49¢ | Size: 145 | Bid: 48¢ | Momentum: +0.00%
[1779614965] ⏱️ 35s | 💰 Price: 49¢ | Size: 130 | Bid: 48¢ | Momentum: +0.00%
[1779614965] ⏱️ 35s | 💰 Price: 50¢ | Size: 325 | Bid: 48¢ | Momentum: +0.00%
[1779614965] ⏱️ 35s | 💰 Price: 1¢ | Size: 6259 | Bid: 48¢ | Momentum: +0.00%
[1779614965] ⏱️ 35s | 💰 Price: 46¢ | Size: 27 | Bid: 46¢ | Momentum: -4.17%
[1779614965] ⏱️ 35s | 💰 Price: 48¢ | Size: 0 | Bid: 46¢ | Momentum: -4.17%
[1779614965] ⏱️ 35s | 💰 Price: 1¢ | Size: 6254 | Bid: 46¢ | Momentum: -4.17%
[1779614965] ⏱️ 35s | 💰 Price: 49¢ | Size: 158 | Bid: 46¢ | Momentum: -4.17%
[1779614965] ⏱️ 35s | 💰 Price: 46¢ | Size: 0 | Bid: 36¢ | Momentum: -25.00%
[1779614965] ⏱️ 35s | 💰 Price: 44¢ | Size: 0 | Bid: 36¢ | Momentum: -25.00%
[1779614965] ⏱️ 35s | 💰 Price: 50¢ | Size: 317 | Bid: 36¢ | Momentum: -25.00%
[1779614965] ⏱️ 35s | 💰 Price: 49¢ | Size: 189 | Bid: 36¢ | Momentum: -25.00%
[1779614965] ⏱️ 35s | 💰 Price: 46¢ | Size: 5 | Bid: 46¢ | Momentum: -4.17%
[1779614966] ⏱️ 34s | 💰 Price: 49¢ | Size: 166 | Bid: 46¢ | Momentum: -4.17%
[1779614966] ⏱️ 34s | 💰 Price: 50¢ | Size: 316 | Bid: 46¢ | Momentum: -4.17%
[1779614966] ⏱️ 34s | 💰 Price: 14¢ | Size: 311 | Bid: 46¢ | Momentum: -4.17%
[1779614966] ⏱️ 34s | 💰 Price: 1¢ | Size: 6249 | Bid: 46¢ | Momentum: -4.17%
[1779614966] ⏱️ 34s | 💰 Price: 37¢ | Size: 7 | Bid: 46¢ | Momentum: -4.17%
[1779614966] ⏱️ 34s | 💰 Price: 46¢ | Size: 18 | Bid: 46¢ | Momentum: -4.17%
[1779614966] ⏱️ 34s | 💰 Price: 37¢ | Size: 51 | Bid: 46¢ | Momentum: -4.17%
[1779614966] ⏱️ 34s | 💰 Price: 36¢ | Size: 294 | Bid: 46¢ | Momentum: -4.17%
[1779614966] ⏱️ 34s | 💰 Price: 34¢ | Size: 27 | Bid: 46¢ | Momentum: -4.17%
[1779614966] ⏱️ 34s | 💰 Price: 46¢ | Size: 39 | Bid: 46¢ | Momentum: -4.17%
[1779614966] ⏱️ 34s | 💰 Price: 46¢ | Size: 45 | Bid: 46¢ | Momentum: -4.17%
[1779614966] ⏱️ 34s | 💰 Price: 50¢ | Size: 316 | Bid: 46¢ | Momentum: -4.17%
[1779614966] ⏱️ 34s | 💰 Price: 37¢ | Size: 74 | Bid: 46¢ | Momentum: -4.17%
[1779614966] ⏱️ 34s | 💰 Price: 46¢ | Size: 49 | Bid: 46¢ | Momentum: -4.17%
[1779614966] ⏱️ 34s | 💰 Price: 37¢ | Size: 44 | Bid: 46¢ | Momentum: -4.17%
[1779614966] ⏱️ 34s | 💰 Price: 49¢ | Size: 18 | Bid: 46¢ | Momentum: -4.17%
[1779614966] ⏱️ 34s | 💰 Price: 46¢ | Size: 52 | Bid: 46¢ | Momentum: -4.17%
[1779614966] ⏱️ 34s | 💰 Price: 46¢ | Size: 44 | Bid: 46¢ | Momentum: -4.17%
[1779614966] ⏱️ 34s | 💰 Price: 46¢ | Size: 54 | Bid: 46¢ | Momentum: -4.17%
[1779614966] ⏱️ 34s | 💰 Price: 46¢ | Size: 65 | Bid: 46¢ | Momentum: -4.17%
[1779614966] ⏱️ 34s | 💰 Price: 36¢ | Size: 302 | Bid: 46¢ | Momentum: -4.17%
