[1779615276] Trying slug: btc-updown-5m-1779615000
[1779615277] Market: Bitcoin Up or Down - May 24, 5:30AM-5:35AM ET | Bid: 50¢
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 566 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 571 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 576 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 571 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 576 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 581 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 586 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 591 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 596 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 606 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 611 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 616 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 621 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 616 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 611 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 616 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 611 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 606 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 611 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 606 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 601 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 596 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 591 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 586 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 1¢ | Size: 5740 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 581 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 576 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 571 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 576 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 576 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 581 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 586 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 591 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 596 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 593 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 598 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 603 | Bid: 2¢ | Momentum: +0.00%
[1779615278] ⏱️ 22s | 💰 Price: 2¢ | Size: 608 | Bid: 2¢ | Momentum: +0.00%
[1779615279] ⏱️ 21s | 💰 Price: 2¢ | Size: 598 | Bid: 2¢ | Momentum: +0.00%
[1779615279] ⏱️ 21s | 💰 Price: 2¢ | Size: 593 | Bid: 2¢ | Momentum: +0.00%
[1779615279] ⏱️ 21s | 💰 Price: 2¢ | Size: 588 | Bid: 2¢ | Momentum: +0.00%
[1779615279] ⏱️ 21s | 💰 Price: 2¢ | Size: 583 | Bid: 2¢ | Momentum: +0.00%
[1779615279] ⏱️ 21s | 💰 Price: 2¢ | Size: 578 | Bid: 2¢ | Momentum: +0.00%
[1779615279] ⏱️ 21s | 💰 Price: 1¢ | Size: 5750 | Bid: 2¢ | Momentum: +0.00%
[1779615279] ⏱️ 21s | 💰 Price: 2¢ | Size: 573 | Bid: 2¢ | Momentum: +0.00%
